profile_id,u_q,coolant,u_d,motor_speed,i_d,i_q,ambient,pm
1,249.81604753894499,32.959305018703375,204.6822734943624,4199.866468148939,59.33960843694131,42.395374426357,29.44770862233466,34.655934567466495
2,480.2857225639665,57.93306631648507,198.79151962879993,4881.747684552548,81.5160712834987,49.97638764062703,15.171590863154986,52.41270338773552
3,392.797576724562,81.10620851134857,462.50183220841467,1877.5734433587443,77.2152883300651,86.18200235420713,36.17183690064445,129.7494966107931
4,339.46339367881467,71.25574204866928,199.81847993980244,3936.807547838494,19.6204909459085,37.30041667568975,28.393487172077243,122.01220276060029
5,162.40745617697462,76.45928035030148,208.7798904514524,3644.6029072906176,19.17869962544002,87.61672005715627,14.716116506708627,72.07712297485762
6,162.39780813448107,66.11483566975022,403.75930496718547,5080.567072335491,30.476564935766767,13.372770942785692,38.87014172443621,75.2172753329055
7,123.23344486727979,68.45935951624966,279.895936980216,5483.478832646933,39.302099002398535,78.79585153481992,25.55096390005962,94.02653202642954
8,446.47045830997405,79.44369560957236,410.6842227820725,566.8622431256274,43.80328023380584,85.51702514019995,12.18695355614965,30.028920562216147
9,340.4460046972835,37.47676062014301,126.14646302575409,4207.10955482336,69.5712355991678,22.27267701954718,28.804987132452016,58.949320324563345
10,383.2290311184182,54.259747455019834,295.02847746935373,785.0968951585096,10.384641055754363,45.882920575359044,17.59596721038431,54.98781703298573
11,108.23379771832097,35.484660927372154,113.44544007331305,3518.7226579254575,8.293906901476307,20.722478593047285,34.11080355631907,60.05795360997162
12,487.96394086479773,89.13676055976529,125.0612813821418,2081.9800097402303,42.23150347967136,72.12739225445068,34.534662206985715,126.70870110401296
13,432.9770563201687,86.08415377806293,462.57498133776437,2187.2712973717767,71.23055075310815,55.85803796585739,39.368420675639854,63.56086278557318
14,184.93564427131048,22.759876795795414,155.69814844703808,2441.271768987961,23.376357580865843,65.3557179372905,25.05608593073511,52.98255864601778
15,172.72998688284025,69.3902620760982,312.96827291008685,3917.1084697728556,65.94292571934392,23.66626186084006,23.648706391832114,90.51161529516378
16,173.36180394137352,84.7673822190966,264.4382410402826,2337.2748111782307,29.68367310432845,25.115856894979853,32.60426816339442,133.87740436472785
17,221.69689718381508,32.64027415891334,238.93733050353708,4529.844778246543,89.17818033728405,8.942245923441105,13.974119690257798,58.961964460499985
18,309.9025726528952,59.756166138684065,459.933338274909,2724.900620656283,90.09054470532857,35.59641584359433,26.407465413793727,39.42434913513584
19,272.7780074568463,84.08418083116293,108.7293587101958,875.9426017047724,33.242284406726014,58.17574282669912,26.38742800392553,72.76856830195976
20,216.49165607921677,22.37621850100592,365.51587447023564,4810.67913366259,26.84940662650785,86.50381682974624,12.684193684311616,119.71821894779734
21,344.74115788895176,68.8194187072788,485.35777368542017,2071.670785259883,44.07387734629197,68.35810750857468,22.539522565207406,96.08286536337535
22,155.79754426081672,40.81443051607855,324.0672733847368,2880.2178377959444,27.850500592114127,46.36265072297638,35.59854395701606,128.0152043489217
23,216.85785941408727,84.70773367635712,474.7289848132367,4269.941357720458,68.87646511271186,95.54641086744309,35.68460865983981,145.15105771310806
24,246.5447373174767,87.97407716157575,120.9031517144095,2328.508864317916,83.47614503208712,73.32829405470403,12.97712994759043,125.11949721019404
25,282.4279936868144,86.09865423794038,267.5173276296646,811.221108806936,68.94375243656562,93.36569427194225,12.721626482434925,102.4563694612504
26,414.07038455720544,53.194995166022466,204.06311638482046,2556.565758570475,83.3132924886882,55.12085746085574,17.880864310058058,89.20099056628567
27,179.8695128633439,80.34298556925194,392.32838599229194,5694.4672048186685,42.71425540971004,29.595906105348263,36.24298187661981,34.808290361792004
28,305.69377536544465,79.11845789745493,492.51883619889867,4029.53918514207,19.85011221734178,10.01853520464859,13.867077552204968,148.11863745768494
29,336.965827544817,42.337033127027894,202.61202497769912,4193.1353176696375,75.10534000277126,73.97806089096579,31.59990407882339,76.01773470900511
30,118.58016508799909,78.02408319054742,361.6698405896298,3977.551845007019,39.24507798844762,16.52378481052574,13.034968588393097,48.26738567002401
31,343.01794076057536,22.59053443008448,179.23905310389605,1594.4567642769023,68.7707283967676,33.763637185836885,28.69413561243476,110.0050626475748
32,168.2096494749166,61.738891493743715,326.13210182864395,2800.8362525625407,30.711174488267737,55.58473624897025,20.682018973574344,64.11459469145512
33,126.0206371941118,36.100618610139215,285.5729946753345,4630.16889099825,12.716815306633904,58.61957583907603,33.66741888897601,100.29339251172571
34,479.5542149013333,28.439682004409516,488.8021318526148,1057.5509365423754,99.29527057133753,62.05540371377792,17.010713464760908,100.41214894135095
35,486.25281322982374,25.38672411404464,343.41090907858666,2028.1902684934175,19.83914325340693,20.79425638322156,29.176054881698796,83.4875785083443
36,423.35893924658444,68.74021431146979,239.8025488347275,2019.755096562195,98.8999944265307,41.07505345805663,17.07047603727655,130.3342338654051
37,221.84550766934828,43.791247463764634,145.63831395517334,2876.104101769783,97.84159359381249,63.63345157611184,31.409808493364615,61.796047386653164
38,139.06884560255355,70.73367400701329,160.49873149397382,5892.028075182018,80.41271987126376,97.13279214020955,36.21034103682246,83.8359109941281
39,373.69321060486277,24.574943855925966,190.12677198049403,871.2640067610207,67.64518139778977,74.12495808147042,13.804053973802802,94.52305543091657
40,276.0609974958405,42.07032364814272,200.3866645361192,3352.855469093273,59.891669773853046,92.647356923926,35.99787065786511,109.63496649207596
41,148.81529393791152,57.7643904662736,440.2464231364551,1486.5057510671575,87.27964681089429,77.41014553984682,27.80725763242894,124.07662206067074
42,298.0707640445081,75.35062153872744,324.48911531300996,5838.720999753593,32.49675455385135,61.21311204477804,13.81331472601072,77.37687394539073
